Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-0.17,-0.28,-0.05,-0.37,-0.13,-0.02,-0.81,-0.46,-0.28,-0.16,-0.11,-0.05,0.05,0.66
1881,-0.09,-0.18,0,-0.34,0.1,-0.07,-0.9,-0.43,-0.21,0.09,0.1,-0.06,-0.07,0.58
1882,-0.11,-0.21,-0.01,-0.31,-0.05,0.01,-1.4,-0.25,-0.16,-0.06,-0.05,0,0.04,0.61
1883,-0.18,-0.29,-0.07,-0.35,-0.17,-0.02,-0.19,-0.54,-0.28,-0.18,-0.15,-0.05,0.07,0.49
1884,-0.28,-0.42,-0.15,-0.6,-0.15,-0.14,-1.29,-0.62,-0.47,-0.13,-0.16,-0.2,-0.02,0.64
1885,-0.33,-0.43,-0.25,-0.65,-0.13,-0.28,-1.5,-0.66,-0.47,-0.07,-0.2,-0.34,-0.15,0.81
1886,-0.31,-0.43,-0.2,-0.57,-0.2,-0.22,-1.58,-0.49,-0.41,-0.21,-0.18,-0.21,-0.2,0.58
1887,-0.36,-0.44,-0.29,-0.53,-0.3,-0.29,-1.76,-0.5,-0.3,-0.3,-0.3,-0.28,-0.26,0.31
1888,-0.17,-0.23,-0.12,-0.42,0.1,-0.29,-1.3,-0.42,-0.25,0.07,0.14,-0.31,-0.23,0.15
1889,-0.1,-0.17,-0.04,-0.29,0.08,-0.17,-0.67,-0.21,-0.28,0.02,0.15,-0.16,-0.15,0.44
1890,-0.35,-0.38,-0.32,-0.45,-0.36,-0.23,-1.14,-0.55,-0.27,-0.27,-0.46,-0.18,-0.27,0.14
1891,-0.23,-0.26,-0.19,-0.43,-0.07,-0.22,-1.13,-0.34,-0.36,0.01,-0.16,-0.18,-0.24,-0.17
1892,-0.27,-0.4,-0.15,-0.44,-0.29,-0.08,-1.14,-0.66,-0.17,-0.33,-0.26,0.02,-0.21,0.08
1893,-0.31,-0.47,-0.15,-0.51,-0.36,-0.05,-0.64,-0.55,-0.47,-0.41,-0.3,0.06,-0.2,-0.05
1894,-0.3,-0.38,-0.21,-0.32,-0.33,-0.24,-0.9,-0.32,-0.19,-0.48,-0.18,-0.15,-0.35,-0.39
1895,-0.22,-0.3,-0.15,-0.4,-0.07,-0.26,-0.66,-0.53,-0.27,-0.14,0.01,-0.2,-0.32,-0.6
1896,-0.11,-0.19,-0.03,-0.34,0.1,-0.16,-0.84,-0.37,-0.22,0.06,0.15,-0.15,-0.13,0.24
1897,-0.1,-0.16,-0.05,-0.35,0.18,-0.24,-0.53,-0.46,-0.24,0.14,0.22,-0.19,-0.27,0.39
1898,-0.27,-0.29,-0.26,-0.35,-0.21,-0.27,-1.15,-0.24,-0.24,-0.18,-0.25,-0.28,-0.21,0.36
1899,-0.17,-0.21,-0.14,-0.24,-0.11,-0.19,-1.02,-0.1,-0.15,-0.15,-0.07,-0.15,-0.22,0.57
1900,-0.08,-0.09,-0.06,-0.2,0.18,-0.3,-0.54,-0.16,-0.15,0.1,0.27,-0.29,-0.29,0.26
1901,-0.15,-0.12,-0.18,-0.16,-0.03,-0.31,-0.42,-0.1,-0.15,-0.05,0,-0.27,-0.34,0.25
1902,-0.27,-0.33,-0.22,-0.53,-0.03,-0.35,-1.4,-0.51,-0.32,-0.02,-0.04,-0.28,-0.43,-0.06
1903,-0.37,-0.38,-0.36,-0.47,-0.28,-0.39,-0.28,-0.42,-0.56,-0.23,-0.32,-0.36,-0.4,-0.5
1904,-0.47,-0.48,-0.46,-0.51,-0.46,-0.44,-0.18,-0.6,-0.55,-0.43,-0.48,-0.37,-0.49,-1.33
1905,-0.26,-0.29,-0.22,-0.41,-0.08,-0.36,-0.04,-0.23,-0.62,-0.11,-0.04,-0.33,-0.37,-0.34
1906,-0.22,-0.24,-0.21,-0.26,-0.19,-0.24,-0.27,-0.07,-0.4,-0.2,-0.17,-0.21,-0.23,-0.72
1907,-0.38,-0.47,-0.3,-0.59,-0.3,-0.29,-0.56,-0.73,-0.52,-0.3,-0.3,-0.21,-0.37,-1.21
1908,-0.43,-0.45,-0.4,-0.48,-0.43,-0.36,-0.22,-0.55,-0.52,-0.42,-0.45,-0.29,-0.48,0.67
1909,-0.48,-0.49,-0.48,-0.53,-0.47,-0.44,-0.73,-0.62,-0.44,-0.43,-0.52,-0.38,-0.52,-0.58
1910,-0.43,-0.44,-0.43,-0.41,-0.48,-0.38,-0.57,-0.24,-0.49,-0.47,-0.49,-0.33,-0.45,0.15
1911,-0.44,-0.42,-0.46,-0.42,-0.42,-0.48,-0.28,-0.42,-0.47,-0.42,-0.42,-0.44,-0.53,0.04
1912,-0.36,-0.46,-0.25,-0.6,-0.17,-0.37,-0.5,-0.79,-0.5,-0.26,-0.08,-0.37,-0.29,-1.64
1913,-0.34,-0.42,-0.26,-0.44,-0.27,-0.35,-0.48,-0.33,-0.51,-0.38,-0.14,-0.29,-0.4,-1.05
1914,-0.15,-0.19,-0.11,-0.25,-0.06,-0.18,-0.34,-0.16,-0.29,-0.1,-0.01,-0.16,-0.18,-0.37
1915,-0.14,-0.14,-0.13,-0.24,-0.01,-0.22,-0.59,-0.17,-0.19,-0.01,-0.01,-0.15,-0.23,-1.99
1916,-0.36,-0.42,-0.31,-0.37,-0.44,-0.23,-0.47,-0.54,-0.24,-0.49,-0.4,-0.23,-0.17,-1.06
1917,-0.46,-0.57,-0.36,-0.5,-0.63,-0.19,-0.8,-0.5,-0.43,-0.68,-0.58,-0.23,-0.1,0.05
1918,-0.29,-0.39,-0.2,-0.4,-0.33,-0.14,-1,-0.27,-0.34,-0.37,-0.28,-0.06,-0.23,-0.29
1919,-0.28,-0.35,-0.2,-0.44,-0.19,-0.23,-0.7,-0.56,-0.3,-0.22,-0.17,-0.15,-0.32,0.19
1920,-0.27,-0.3,-0.24,-0.25,-0.25,-0.33,-0.01,-0.2,-0.35,-0.37,-0.13,-0.19,-0.48,-1.15
1921,-0.19,-0.11,-0.27,0.02,-0.25,-0.31,-0.02,0.17,-0.08,-0.28,-0.21,-0.23,-0.38,-0.85
1922,-0.28,-0.27,-0.3,-0.25,-0.31,-0.28,-0.33,-0.4,-0.13,-0.31,-0.31,-0.25,-0.29,-0.29
1923,-0.26,-0.22,-0.31,-0.15,-0.29,-0.34,0.16,-0.15,-0.25,-0.31,-0.27,-0.27,-0.41,-0.56
1924,-0.27,-0.18,-0.36,-0.13,-0.25,-0.44,0.45,-0.25,-0.23,-0.26,-0.25,-0.4,-0.45,-0.54
1925,-0.22,-0.14,-0.3,-0.05,-0.23,-0.38,-0.11,0.18,-0.18,-0.27,-0.2,-0.25,-0.55,-0.87
1926,-0.11,0.02,-0.22,0.02,0.02,-0.41,0.55,0.16,-0.22,0.02,0.03,-0.35,-0.45,-0.65
1927,-0.22,-0.13,-0.29,-0.13,-0.15,-0.39,0.01,-0.22,-0.13,-0.13,-0.17,-0.31,-0.45,-1.39
1928,-0.2,-0.1,-0.29,-0.07,-0.14,-0.4,0.69,-0.17,-0.23,-0.13,-0.15,-0.29,-0.48,-2.13
1929,-0.36,-0.33,-0.38,-0.38,-0.27,-0.46,0.13,-0.62,-0.38,-0.26,-0.28,-0.43,-0.45,-1.09
1930,-0.16,-0.01,-0.29,0.04,-0.1,-0.43,0.52,0.04,-0.11,-0.08,-0.12,-0.33,-0.47,-2.61
1931,-0.09,0.05,-0.21,0.01,0.09,-0.43,0.55,-0.04,-0.14,0.12,0.06,-0.42,-0.4,-0.42
1932,-0.15,-0.05,-0.25,0.03,-0.15,-0.35,0.47,0.19,-0.21,-0.17,-0.13,-0.21,-0.53,-1
1933,-0.28,-0.25,-0.31,-0.24,-0.27,-0.34,-0.17,-0.47,-0.12,-0.27,-0.27,-0.22,-0.48,-1.16
1934,-0.12,0,-0.25,0.17,-0.24,-0.26,0.87,0.31,-0.12,-0.25,-0.23,-0.15,-0.38,-0.58
1935,-0.19,-0.09,-0.29,-0.04,-0.17,-0.38,0.34,-0.05,-0.16,-0.15,-0.19,-0.3,-0.42,-1.72
1936,-0.14,-0.03,-0.25,-0.03,-0.11,-0.3,0.39,0.11,-0.25,-0.04,-0.19,-0.26,-0.33,-0.04
1937,-0.02,0.13,-0.17,0.2,-0.04,-0.22,1.23,0.03,-0.02,0.02,-0.1,-0.19,-0.26,0.35
1938,0,0.17,-0.17,0.39,-0.21,-0.1,1.5,0.39,0.03,-0.17,-0.26,-0.06,-0.11,-0.88
1939,-0.01,0.1,-0.12,0.23,-0.11,-0.12,0.56,0.28,0.09,-0.1,-0.12,-0.04,-0.19,-1.61
1940,0.13,0.18,0.1,0.11,0.29,-0.07,1,-0.02,-0.09,0.28,0.3,0.03,-0.2,-0.07
1941,0.19,0.23,0.17,0.01,0.5,-0.05,0,-0.09,0.09,0.55,0.44,0.04,-0.15,-0.48
1942,0.07,0.13,0.01,0.13,0.08,-0.01,0.73,-0.06,0.06,0.13,0.04,0.06,-0.05,-0.91
1943,0.09,0.18,-0.01,0.37,-0.08,0.04,1.41,0.28,0.11,-0.1,-0.06,0.07,0,1.13
1944,0.21,0.27,0.14,0.38,0.19,0.05,1.18,0.47,0.1,0.12,0.27,0.18,-0.1,-0.95
1945,0.09,0.11,0.09,0.11,0.17,-0.03,0.63,-0.02,0.04,0.1,0.25,0.03,0,-1.79
1946,-0.07,0.03,-0.17,0.07,-0.04,-0.24,-0.03,-0.05,0.17,-0.02,-0.06,-0.22,-0.24,-0.19
1947,-0.02,0.08,-0.13,0.16,-0.05,-0.17,1.07,-0.13,0.05,-0.03,-0.08,-0.19,-0.08,-0.23
1948,-0.1,-0.01,-0.19,0.13,-0.18,-0.24,0.12,0.32,0.01,-0.22,-0.13,-0.2,-0.19,-1.39
1949,-0.11,-0.02,-0.19,0.11,-0.18,-0.23,0.2,0.17,0.05,-0.23,-0.14,-0.18,-0.15,-1.99
1950,-0.17,-0.15,-0.2,-0.05,-0.28,-0.15,0.19,-0.31,0.04,-0.3,-0.27,-0.06,-0.16,-0.87
1951,-0.07,0.05,-0.18,0.08,-0.06,-0.23,0.08,0.01,0.12,0,-0.11,-0.22,-0.16,-0.7
1952,0.01,0.06,-0.03,0.11,0.02,-0.09,0.27,-0.09,0.19,-0.01,0.05,-0.1,-0.02,-0.51
1953,0.08,0.24,-0.07,0.35,0.07,-0.19,1.02,0.35,0.14,0.08,0.07,-0.08,-0.24,-1.12
1954,-0.13,-0.02,-0.25,0.07,-0.21,-0.22,0.8,-0.21,0,-0.14,-0.28,-0.18,-0.2,-0.82
1955,-0.14,-0.09,-0.2,0.05,-0.34,-0.06,-0.24,-0.11,0.23,-0.29,-0.38,-0.16,-0.08,1.22
1956,-0.19,-0.23,-0.16,-0.2,-0.33,0,0.01,-0.47,-0.09,-0.28,-0.37,-0.14,0.02,0.76
1957,0.05,0.04,0.06,0.03,0.08,0.02,0.09,0.22,-0.11,0.06,0.1,-0.09,-0.02,0.49
1958,0.06,0.15,-0.03,0.08,0.2,-0.15,-0.16,0.14,0.12,0.26,0.15,-0.08,-0.09,-0.53
1959,0.03,0.12,-0.06,0.16,0.07,-0.16,0.49,0.18,0.04,0.07,0.07,-0.03,-0.26,-0.36
1960,-0.03,0.08,-0.13,0.09,0.02,-0.2,0.34,-0.07,0.11,0.06,-0.02,-0.1,-0.07,-0.75
1961,0.06,0.09,0.03,0.19,-0.03,0.05,-0.15,0.38,0.18,-0.07,0,0.14,-0.17,0.21
1962,0.03,0.13,-0.06,0.24,-0.05,-0.08,0.45,0.31,0.14,-0.04,-0.05,0.09,-0.08,-0.65
1963,0.05,0.14,-0.03,0.14,0.12,-0.12,-0.16,0.31,0.13,0.14,0.1,-0.1,-0.17,-0.03
1964,-0.2,-0.19,-0.2,-0.23,-0.14,-0.24,-0.66,-0.2,-0.12,-0.13,-0.14,-0.3,-0.07,-0.38
1965,-0.11,-0.14,-0.07,-0.18,-0.03,-0.13,-0.28,-0.24,-0.12,-0.08,0.02,-0.23,-0.03,-0.01
1966,-0.06,-0.02,-0.09,-0.14,0.08,-0.15,-0.76,-0.19,0.09,0.16,-0.01,-0.23,-0.14,0.11
1967,-0.02,0.03,-0.08,0.12,-0.14,-0.01,0.36,0.26,-0.05,-0.11,-0.17,-0.09,-0.02,0.3
1968,-0.08,-0.07,-0.09,-0.11,-0.07,-0.08,-0.33,-0.02,-0.09,-0.02,-0.11,-0.14,0,-0.08
1969,0.05,-0.03,0.14,-0.29,0.33,0.02,-0.04,-0.61,-0.17,0.35,0.32,0,0.13,-0.14
1970,0.03,-0.04,0.09,-0.11,0.06,0.11,-0.22,-0.13,-0.06,0.06,0.06,0.11,0.03,0.31
1971,-0.08,-0.15,-0.02,-0.06,-0.26,0.13,-0.08,0.01,-0.1,-0.29,-0.22,0.03,0.16,0.44
1972,0.01,-0.18,0.2,-0.34,0.16,0.14,-0.37,-0.47,-0.25,0.06,0.26,0.16,-0.02,0.45
1973,0.16,0.09,0.23,0.1,0.19,0.18,0.07,0.27,0.02,0.08,0.3,0.22,0.08,0.34
1974,-0.07,-0.18,0.03,-0.14,-0.2,0.18,-0.19,-0.07,-0.18,-0.23,-0.17,0.22,-0.08,0.65
1975,-0.01,-0.06,0.02,0.12,-0.24,0.16,0.09,0.39,-0.05,-0.31,-0.17,0.13,0.14,0.29
1976,-0.1,-0.21,0.01,-0.26,-0.12,0.09,-0.08,-0.32,-0.28,-0.13,-0.1,0.1,0.22,-0.24
1977,0.18,0.12,0.24,0.13,0.16,0.25,0.16,0.24,0.06,0.09,0.22,0.22,0.31,0.28
1978,0.07,0.02,0.12,-0.04,0.08,0.16,-0.16,0.04,-0.04,0.1,0.05,0.21,0.13,0.04
1979,0.17,0.08,0.25,-0.03,0.26,0.23,-0.6,0.07,0.09,0.25,0.27,0.3,0.33,-0.2
1980,0.26,0.17,0.35,0.06,0.31,0.39,0.25,0.02,0.02,0.32,0.29,0.35,0.37,0.59
1981,0.32,0.37,0.27,0.48,0.18,0.36,1.09,0.79,0.08,0.22,0.14,0.29,0.39,0.61
1982,0.14,0.05,0.23,-0.08,0.27,0.18,-0.4,0.09,-0.08,0.25,0.29,0.19,0.32,-0.11
1983,0.31,0.25,0.38,0.22,0.43,0.25,0.19,0.69,-0.07,0.29,0.58,0.21,0.41,0.05
1984,0.16,0.04,0.28,0.01,0.19,0.26,0.36,0.08,-0.13,0.07,0.3,0.16,0.32,0.51
1985,0.12,0,0.24,-0.03,0.09,0.3,0.38,-0.27,-0.01,0.04,0.14,0.3,0.44,0.04
1986,0.18,0.13,0.23,0.1,0.23,0.2,0,0.27,0.03,0.18,0.28,0.25,0.25,-0.11
1987,0.32,0.25,0.41,0.04,0.59,0.25,-0.37,0.13,0.12,0.55,0.62,0.32,0.25,0
1988,0.39,0.37,0.41,0.4,0.38,0.39,0.58,0.57,0.24,0.32,0.43,0.38,0.2,0.88
1989,0.27,0.27,0.27,0.4,0.13,0.34,0.32,0.69,0.25,0.07,0.19,0.36,0.3,0.36
1990,0.45,0.53,0.37,0.63,0.37,0.37,0.58,0.88,0.49,0.38,0.36,0.37,0.37,0.35
1991,0.4,0.41,0.4,0.47,0.36,0.39,0.75,0.66,0.26,0.32,0.4,0.31,0.29,0.95
1992,0.22,0.13,0.31,0.09,0.28,0.27,-0.17,0.44,-0.03,0.2,0.36,0.2,0.33,0.4
1993,0.23,0.19,0.28,0.13,0.32,0.22,0.54,0.29,-0.11,0.29,0.35,0.27,0.39,-0.31
1994,0.31,0.37,0.26,0.43,0.31,0.2,0.34,0.5,0.42,0.28,0.34,0.26,0.23,-0.05
1995,0.45,0.58,0.32,0.7,0.42,0.22,1.31,0.98,0.32,0.4,0.44,0.29,0.15,0.14
1996,0.33,0.26,0.39,0.23,0.32,0.43,0.77,0.17,0.1,0.31,0.32,0.33,0.28,1.19
1997,0.46,0.52,0.41,0.53,0.51,0.33,0.76,0.9,0.23,0.5,0.52,0.42,0.36,-0.03
1998,0.61,0.71,0.51,0.78,0.69,0.32,0.86,0.94,0.66,0.6,0.79,0.39,0.31,0.11
1999,0.38,0.48,0.28,0.7,0.2,0.3,0.4,0.8,0.74,0.16,0.25,0.46,0.19,0
2000,0.39,0.5,0.28,0.7,0.24,0.29,0.97,0.8,0.55,0.21,0.28,0.42,0.1,0.26
2001,0.54,0.64,0.43,0.8,0.42,0.42,1.06,0.86,0.68,0.4,0.44,0.58,0.24,0.25
2002,0.63,0.71,0.54,0.83,0.59,0.47,1.25,1,0.58,0.55,0.64,0.49,0.32,0.75
2003,0.62,0.75,0.49,0.84,0.64,0.37,1.49,0.98,0.54,0.61,0.66,0.44,0.24,0.37
2004,0.53,0.66,0.41,0.72,0.55,0.32,0.46,0.95,0.66,0.56,0.53,0.48,0.23,-0.05
2005,0.68,0.86,0.5,1.01,0.62,0.41,1.98,1.22,0.57,0.62,0.61,0.49,0.19,0.65
2006,0.64,0.82,0.46,0.99,0.55,0.39,1.73,1.06,0.7,0.57,0.54,0.51,0.19,0.4
2007,0.66,0.85,0.47,1.13,0.46,0.47,2.1,1.32,0.69,0.45,0.48,0.5,0.07,1.21
2008,0.54,0.68,0.4,0.92,0.38,0.39,1.53,1.08,0.62,0.34,0.41,0.52,0.09,0.58
2009,0.66,0.72,0.59,0.78,0.68,0.51,1.41,0.6,0.68,0.65,0.7,0.6,0.15,0.95
2010,0.72,0.9,0.55,1.02,0.68,0.48,2.21,0.86,0.74,0.72,0.65,0.63,0.2,0.5
2011,0.61,0.74,0.47,0.99,0.37,0.56,2.34,0.93,0.58,0.39,0.35,0.64,0.18,1.09
2012,0.65,0.82,0.48,1.04,0.52,0.42,2.21,0.93,0.74,0.48,0.57,0.56,0.19,0.41
2013,0.68,0.8,0.55,0.95,0.58,0.54,1.54,1.04,0.7,0.58,0.57,0.62,0.23,0.86
2014,0.75,0.92,0.57,1.07,0.67,0.52,2.03,1.14,0.73,0.69,0.64,0.72,0.18,0.56
2015,0.9,1.18,0.63,1.32,0.96,0.41,2,1.48,1,0.98,0.93,0.75,0.18,-0.3
2016,1.02,1.31,0.73,1.55,1.01,0.49,3.25,1.43,1.08,0.96,1.06,0.67,0.26,0.41
2017,0.92,1.18,0.67,1.39,0.82,0.6,2.52,1.38,1.04,0.87,0.76,0.76,0.35,0.55
2018,0.85,1.04,0.66,1.24,0.68,0.69,2.13,1.08,1.06,0.74,0.62,0.8,0.38,0.97
2019,0.98,1.21,0.75,1.42,0.9,0.65,2.7,1.43,1,0.91,0.88,0.74,0.4,0.85
2020,1.02,1.36,0.69,1.68,0.87,0.57,2.9,1.82,1.19,0.89,0.84,0.58,0.39,0.92
2021,0.85,1.15,0.56,1.43,0.66,0.53,2.04,1.36,1.27,0.73,0.59,0.72,0.32,0.31
2022,0.9,1.17,0.62,1.52,0.57,0.71,2.34,1.51,1.27,0.64,0.51,0.79,0.39,1.12
